date,longitude,latitude,co,co2,ch4,nh3,pm25
1/8/2015,97.35,4.45,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.45,4.45,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.55,4.45,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.65,4.45,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.75,4.45,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.85,4.45,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.95,4.45,2.12E-13,3.39E-12,0,0,0
1/8/2015,98.05,4.45,2.12E-13,3.39E-12,0,0,0
1/8/2015,98.15,4.45,2.12E-13,3.39E-12,0,0,0
1/8/2015,95.95,4.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.05,4.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.15,4.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.25,4.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.35,4.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.45,4.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.55,4.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.65,4.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.75,4.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.85,4.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.95,4.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.05,4.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.15,4.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.25,4.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.35,4.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.45,4.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.55,4.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.65,4.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.75,4.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.85,4.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.95,4.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,98.05,4.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,98.15,4.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,98.25,4.35,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.05,4.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.15,4.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.25,4.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.35,4.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.45,4.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.55,4.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.65,4.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.75,4.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.85,4.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.95,4.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.05,4.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.15,4.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.25,4.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.35,4.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.45,4.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.55,4.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.65,4.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.75,4.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.85,4.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.95,4.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,98.05,4.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,98.15,4.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,98.25,4.25,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.15,4.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.25,4.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.35,4.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.45,4.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.55,4.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.65,4.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.75,4.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.85,4.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,96.95,4.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.05,4.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.15,4.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.25,4.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.35,4.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.45,4.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.55,4.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.65,4.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.75,4.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.85,4.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,97.95,4.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,98.05,4.15,2.12E-13,3.39E-12,0,0,0
1/8/2015,98.15,4.15,2.12E-13,3.39E-12,0,0,0
2/8/2015,95.25,5.849999905,0,1.69E-12,0,0,0
2/8/2015,95.34999847,5.849999905,0,1.69E-12,0,0,0
2/8/2015,95.15000153,5.650000095,0,1.69E-12,0,0,0
2/8/2015,95.44999695,5.650000095,0,1.69E-12,0,0,0
2/8/2015,95.25,5.550000191,0,1.69E-12,0,0,0
2/8/2015,95.34999847,5.550000191,0,1.69E-12,0,0,0
2/8/2015,95.44999695,5.550000191,0,1.69E-12,0,0,0
2/8/2015,95.55000305,5.550000191,0,1.69E-12,0,0,0
2/8/2015,95.65000153,5.550000191,0,1.69E-12,0,0,0
2/8/2015,95.75,5.550000191,0,1.69E-12,0,0,0
2/8/2015,95.25,5.449999809,0,1.69E-12,0,0,0
2/8/2015,95.34999847,5.449999809,0,1.69E-12,0,0,0
2/8/2015,95.44999695,5.449999809,0,1.69E-12,0,0,0
2/8/2015,95.55000305,5.449999809,0,1.69E-12,0,0,0
2/8/2015,95.65000153,5.449999809,0,1.69E-12,0,0,0
2/8/2015,95.75,5.449999809,0,1.69E-12,0,0,0
2/8/2015,95.84999847,5.449999809,0,1.69E-12,0,0,0
2/8/2015,95.25,5.349999905,0,1.69E-12,0,0,0
2/8/2015,95.34999847,5.349999905,0,1.69E-12,0,0,0
2/8/2015,95.44999695,5.349999905,0,1.69E-12,0,0,0
2/8/2015,95.55000305,5.349999905,0,1.69E-12,0,0,0
2/8/2015,95.65000153,5.349999905,0,1.69E-12,0,0,0
2/8/2015,95.75,5.349999905,0,1.69E-12,0,0,0
2/8/2015,95.84999847,5.349999905,0,1.69E-12,0,0,0
2/8/2015,95.94999695,5.349999905,0,1.69E-12,0,0,0
2/8/2015,95.25,5.25,0,1.69E-12,0,0,0
2/8/2015,95.34999847,5.25,0,1.69E-12,0,0,0
2/8/2015,95.44999695,5.25,0,1.69E-12,0,0,0
2/8/2015,95.55000305,5.25,0,1.69E-12,0,0,0
2/8/2015,95.65000153,5.25,0,1.69E-12,0,0,0
2/8/2015,95.75,5.25,0,1.69E-12,0,0,0
2/8/2015,95.84999847,5.25,0,1.69E-12,0,0,0
2/8/2015,95.94999695,5.25,0,1.69E-12,0,0,0
2/8/2015,96.05000305,5.25,0,1.69E-12,0,0,0
2/8/2015,96.15000153,5.25,0,1.69E-12,0,0,0
2/8/2015,96.25,5.25,0,1.69E-12,0,0,0
2/8/2015,96.75,5.25,0,1.69E-12,0,0,0
2/8/2015,96.84999847,5.25,0,1.69E-12,0,0,0
2/8/2015,96.94999695,5.25,0,1.69E-12,0,0,0
2/8/2015,95.34999847,5.150000095,0,1.69E-12,0,0,0
2/8/2015,95.44999695,5.150000095,0,1.69E-12,0,0,0
2/8/2015,95.55000305,5.150000095,0,1.69E-12,0,0,0
2/8/2015,95.65000153,5.150000095,0,1.69E-12,0,0,0
2/8/2015,95.75,5.150000095,0,1.69E-12,0,0,0
2/8/2015,95.84999847,5.150000095,0,1.69E-12,0,0,0
2/8/2015,95.94999695,5.150000095,0,1.69E-12,0,0,0
2/8/2015,96.05000305,5.150000095,0,1.69E-12,0,0,0
2/8/2015,96.15000153,5.150000095,0,1.69E-12,0,0,0
2/8/2015,96.25,5.150000095,0,1.69E-12,0,0,0
2/8/2015,96.34999847,5.150000095,0,1.69E-12,0,0,0
2/8/2015,96.44999695,5.150000095,0,1.69E-12,0,0,0
2/8/2015,96.55000305,5.150000095,0,1.69E-12,0,0,0
2/8/2015,96.65000153,5.150000095,0,1.69E-12,0,0,0
2/8/2015,96.75,5.150000095,0,1.69E-12,0,0,0
2/8/2015,96.84999847,5.150000095,0,1.69E-12,0,0,0
2/8/2015,96.94999695,5.150000095,0,1.69E-12,0,0,0
2/8/2015,97.05000305,5.150000095,0,1.69E-12,0,0,0
2/8/2015,97.15000153,5.150000095,0,1.69E-12,0,0,0
2/8/2015,97.25,5.150000095,0,1.69E-12,0,0,0
2/8/2015,97.34999847,5.150000095,0,1.69E-12,0,0,0
2/8/2015,97.44999695,5.150000095,0,1.69E-12,0,0,0
2/8/2015,97.55000305,5.150000095,0,1.69E-12,0,0,0
2/8/2015,95.34999847,5.050000191,0,1.69E-12,0,0,0
2/8/2015,95.44999695,5.050000191,0,1.69E-12,0,0,0
